Origin Airport,Origin City,Origin State,Destination Airport,Destination City,Destination State,Total Time (Minutes),Hours,Minutes,Distance (Miles)
ABE,"Allentown/Bethlehem/Easton, PA",PA,CLT,"Charlotte, NC",NC,100,1,40,481
ABI,"Abilene, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,42,0,42,158
ABQ,"Albuquerque, NM",NM,ATL,"Atlanta, GA",GA,154,2,34,1269
ABR,"Aberdeen, SD",SD,MSP,"Minneapolis, MN",MN,74,1,14,257
ACT,"Waco, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,43,0,43,89
ACV,"Arcata/Eureka, CA",CA,DEN,"Denver, CO",CO,145,2,25,1026
ACY,"Atlantic City, NJ",NJ,FLL,"Fort Lauderdale, FL",FL,173,2,53,977
ADK,"Adak Island, AK",AK,ANC,"Anchorage, AK",AK,164,2,44,1192
AEX,"Alexandria, LA",LA,DFW,"Dallas/Fort Worth, TX",TX,76,1,16,285
AGS,"Augusta, GA",GA,CLT,"Charlotte, NC",NC,54,0,54,140
ALB,"Albany, NY",NY,ATL,"Atlanta, GA",GA,167,2,47,853
AMA,"Amarillo, TX",TX,DAL,"Dallas, TX",TX,61,1,1,323
ANC,"Anchorage, AK",AK,ADK,"Adak Island, AK",AK,159,2,39,1192
APN,"Alpena, MI",MI,DTW,"Detroit, MI",MI,72,1,12,198
ASE,"Aspen, CO",CO,ATL,"Atlanta, GA",GA,199,3,19,1304
ATL,"Atlanta, GA",GA,ABQ,"Albuquerque, NM",NM,216,3,36,1269
ATW,"Appleton, WI",WI,ATL,"Atlanta, GA",GA,162,2,42,765
AUS,"Austin, TX",TX,ABQ,"Albuquerque, NM",NM,110,1,50,619
AVL,"Asheville, NC",NC,CLT,"Charlotte, NC",NC,50,0,50,91
AVP,"Scranton/Wilkes-Barre, PA",PA,CLT,"Charlotte, NC",NC,100,1,40,509
AZA,"Phoenix, AZ",AZ,BIL,"Billings, MT",MT,148,2,28,878
AZO,"Kalamazoo, MI",MI,DTW,"Detroit, MI",MI,79,1,19,113
BDL,"Hartford, CT",CT,ATL,"Atlanta, GA",GA,153,2,33,859
BFF,"Scottsbluff, NE",NE,DEN,"Denver, CO",CO,99,1,39,150
BFL,"Bakersfield, CA",CA,DEN,"Denver, CO",CO,143,2,23,845
BGR,"Bangor, ME",ME,DCA,"Washington, DC",VA,113,1,53,590
BHM,"Birmingham, AL",AL,ATL,"Atlanta, GA",GA,46,0,46,134
BIH,"Bishop, CA",CA,DEN,"Denver, CO",CO,139,2,19,760
BIL,"Billings, MT",MT,AZA,"Phoenix, AZ",AZ,166,2,46,878
BIS,"Bismarck/Mandan, ND",ND,AZA,"Phoenix, AZ",AZ,168,2,48,1092
BJI,"Bemidji, MN",MN,MSP,"Minneapolis, MN",MN,64,1,4,199
BLI,"Bellingham, WA",WA,LAS,"Las Vegas, NV",NV,159,2,39,954
