Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
CJ Abrams,Washington,4,1,6,1,1,1,5,5,1,0.286,0.286,0.857
Wilyer Abreu,Boston,6,4,5,1,0,3,9,6,0,0.25,0.318,1.068
Ronald Acuña Jr.,Atlanta,6,1,3,0,0,0,2,11,0,0.158,0.304,0.462
Willy Adames,San Francisco,7,4,6,0,0,1,4,7,0,0.273,0.346,0.755
Riley Adams,Washington,3,2,4,1,0,0,2,6,0,0.364,0.364,0.818
Jo Adell,Los Angeles,5,6,9,1,0,2,5,4,0,0.429,0.478,1.24
Ozzie Albies,Atlanta,6,2,5,0,0,0,0,1,0,0.25,0.348,0.598
Blaze Alexander,Arizona,2,0,0,0,0,0,0,0,0,,,
Nick Allen,Atlanta,6,0,6,0,0,0,1,3,0,0.353,0.421,0.774
Pete Alonso,New York,5,3,7,2,0,0,1,5,1,0.368,0.4,0.874
Jose Altuve,Houston,6,4,3,0,0,1,2,7,0,0.136,0.24,0.513
Roman Anthony,Boston,6,4,9,4,0,0,2,5,0,0.45,0.476,1.126
Jonathan Aranda,Tampa Bay,7,3,7,1,0,2,4,6,0,0.259,0.31,0.829
Orlando Arcia,Colorado,4,1,1,0,0,1,1,3,0,0.091,0.167,0.53
Nolan Arenado,St. Louis,6,1,5,2,0,0,2,2,0,0.238,0.273,0.606
Gabriel Arias,Cleveland,5,1,4,1,0,1,4,5,0,0.286,0.333,0.905
Randy Arozarena,Seattle,7,7,10,1,0,3,7,6,1,0.357,0.406,1.121
Luis Arráez,San Diego,5,1,7,1,0,1,2,1,0,0.35,0.409,0.959
Harrison Bader,Minnesota,4,1,3,0,0,0,0,6,0,0.214,0.214,0.429
Javier Báez,Detroit,4,0,2,1,0,0,0,4,0,0.143,0.143,0.357
Patrick Bailey,San Francisco,6,1,4,1,1,0,5,5,0,0.25,0.333,0.771
Brooks Baldwin,Chicago,1,0,0,0,0,0,0,2,0,0,0.333,0.333
Drake Baldwin,Atlanta,5,1,1,0,0,1,1,4,0,0.083,0.214,0.548
Addison Barger,Toronto,7,7,6,2,0,1,2,10,0,0.222,0.25,0.657
Joey Bart,Pittsburgh,3,3,3,0,0,0,1,4,0,0.273,0.385,0.657
Brett Baty,New York,5,1,6,3,0,0,1,2,0,0.333,0.4,0.9
Jake Bauers,Milwaukee,2,0,0,0,0,0,0,1,0,0,0.2,0.2
Jordan Beck,Colorado,6,2,8,2,0,0,0,6,0,0.32,0.37,0.77
Josh Bell,Washington,4,3,3,1,0,1,3,1,0,0.231,0.375,0.913
Cody Bellinger,New York,5,5,8,1,0,2,5,2,1,0.364,0.391,1.073
Andrew Benintendi,Chicago,5,3,4,0,0,2,3,2,0,0.211,0.238,0.764
Will Benson,Cincinnati,4,2,6,1,0,0,1,5,0,0.462,0.462,1
Jon Berti,Chicago,3,0,1,0,0,0,0,0,1,0.25,0.25,0.5
Mookie Betts,Los Angeles,5,1,3,1,0,0,2,3,0,0.143,0.143,0.333
Bo Bichette,Toronto,5,1,5,1,0,0,1,4,0,0.208,0.208,0.458
JJ Bleday,Athletics,3,1,0,0,0,0,0,4,0,0,0.125,0.125
