Player,Conference,Team,Pos,3P%,PTS,REB
Shai Gilgeous-Alexander,West,OKC,PG,0.375,32.7,5
Giannis Antetokounmpo,East,MIL,PF,0.222,30.4,11.9
Nikola Jokic,West,DEN,C,0.417,29.6,12.7
Luka Doncic,West,LAL,PG,0.368,28.2,8.2
Anthony Edwards,West,MIN,SG,0.395,27.6,5.7
Jayson Tatum,East,BOS,PF,0.343,26.8,8.7
Kevin Durant,West,PHO,PF,0.43,26.6,6
Tyrese Maxey,East,PHI,PG,0.337,26.3,3.3
Cade Cunningham,East,DET,PG,0.356,26.1,6.1
Jalen Brunson,East,NYK,PG,0.383,26,2.9
Paolo Banchero,East,ORL,PF,0.32,25.9,7.5
Devin Booker,West,PHO,SG,0.332,25.6,4.1
LaMelo Ball,West,CHO,PG,0.339,25.2,4.9
Damian Lillard,East,MIL,PG,0.376,24.9,4.7
Anthony Davis,West,DAL,PF,0.282,24.7,11.6
Kyrie Irving,West,DAL,SG,0.401,24.7,4.8
Zion Williamson,West,NOP,PF,0.231,24.6,7.2
Stephen Curry,West,GSW,PG,0.397,24.5,4.4
LeBron James,West,LAL,SF,0.376,24.4,7.8
Karl-Anthony Towns,East,NYK,C,0.42,24.4,12.8
Victor Wembanyama,West,SAS,C,0.352,24.3,11
Franz Wagner,East,ORL,SF,0.295,24.2,5.7
Trae Young,East,ATL,PG,0.34,24.2,3.1
Donovan Mitchell,East,CLE,SG,0.368,24,4.5
Cam Thomas,East,BRK,SG,0.349,24,3.3
Tyler Herro,East,MIA,SG,0.375,23.9,5.2
Joel Embiid,East,PHI,C,0.299,23.8,8.2
De'Aaron Fox,West,SAS,PG,0.31,23.5,4.8
Zach LaVine,West,SAC,SF,0.446,23.3,4.3
Ja Morant,West,MEM,PG,0.309,23.2,4.1
James Harden,West,LAC,PG,0.352,22.8,5.8
Jaylen Brown,East,BOS,SF,0.324,22.2,5.8
DeMar DeRozan,West,SAC,SF,0.328,22.2,3.9
Brandon Ingram,West,NOP,SF,0.374,22.2,5.6
Jaren Jackson Jr.,West,MEM,C,0.375,22.2,5.6
Norman Powell,West,LAC,SG,0.418,21.8,3.2
Jalen Williams,West,OKC,SG,0.365,21.6,5.3
Kawhi Leonard,West,LAC,SF,0.411,21.5,5.9
Jamal Murray,West,DEN,PG,0.393,21.4,3.9
Trey Murphy III,West,NOP,SF,0.361,21.2,5.1
RJ Barrett,East,TOR,SF,0.35,21.1,6.3
CJ McCollum,West,NOP,PG,0.373,21.1,3.8
Jalen Green,West,HOU,SG,0.354,21,4.6
Brandon Miller,West,CHO,SF,0.355,21,4.9
Darius Garland,East,CLE,PG,0.401,20.6,2.9
Jordan Poole,East,WAS,SG,0.378,20.5,3
Coby White,East,CHI,SG,0.37,20.4,3.7
Miles Bridges,West,CHO,PF,0.313,20.3,7.5
Austin Reaves,West,LAL,SG,0.377,20.2,4.5
Pascal Siakam,East,IND,PF,0.389,20.2,6.9
Kristaps Porzi??is,East,BOS,C,0.412,19.5,6.8
Scottie Barnes,East,TOR,PF,0.271,19.3,7.7
Anfernee Simons,West,POR,SG,0.363,19.3,2.7
Desmond Bane,West,MEM,SG,0.392,19.2,6.1
Domantas Sabonis,West,SAC,C,0.417,19.1,13.9
Alperen Sengun,West,HOU,C,0.233,19.1,10.3
John Collins,West,UTA,PF,0.399,19,8.2
Lauri Markkanen,West,UTA,PF,0.346,19,5.9
Jalen Johnson,East,ATL,SF,0.312,18.9,10
Cameron Johnson,East,BRK,PF,0.39,18.8,4.3
Julius Randle,West,MIN,PF,0.344,18.7,7.1
Tyrese Haliburton,East,IND,PG,0.388,18.6,3.5
Evan Mobley,East,CLE,PF,0.37,18.5,9.3
Shaedon Sharpe,West,POR,SG,0.311,18.5,4.5
Nikola Vucevic,East,CHI,C,0.402,18.5,10.1
Collin Sexton,West,UTA,SG,0.406,18.4,2.7
Michael Porter Jr.,West,DEN,SF,0.395,18.2,7
Bam Adebayo,East,MIA,C,0.357,18.1,9.6
Andrew Wiggins,East,MIA,SF,0.374,18,4.5
OG Anunoby,East,NYK,PF,0.372,18,4.8
Mikal Bridges,East,NYK,SF,0.354,17.6,3.2
Jaden Ivey,East,DET,SG,0.409,17.6,4.1
Jimmy Butler,West,GSW,SF,0.308,17.5,5.4
Dejounte Murray,West,NOP,PG,0.299,17.5,6.5
Malik Monk,West,SAC,SG,0.325,17.2,3.8
Immanuel Quickley,East,TOR,PG,0.378,17.1,3.5
De'Andre Hunter,East,CLE,SF,0.405,17,4
Bradley Beal,West,PHO,SG,0.386,17,3.3
Deni Avdija,West,POR,SF,0.365,16.9,7.3
Keyonte George,West,UTA,PG,0.343,16.8,3.8
Ivica Zubac,West,LAC,C,,16.8,12.6
Derrick White,East,BOS,SG,0.384,16.4,4.5
Malik Beasley,East,DET,SG,0.416,16.3,2.6
Devin Vassell,West,SAS,SG,0.368,16.3,4
Jordan Clarkson,West,UTA,SG,0.362,16.2,3.2
Paul George,East,PHI,PF,0.358,16.2,5.3
Jalen Suggs,East,ORL,PG,0.314,16.2,4
Bennedict Mathurin,East,IND,SF,0.34,16.1,5.3
Myles Turner,East,IND,C,0.396,15.6,6.5
Jonathan Kuminga,West,GSW,PF,0.305,15.3,4.6
Jared McCain,East,PHI,SG,0.383,15.3,2.4
Mark Williams,West,CHO,C,0,15.3,10.2
Kelly Oubre Jr.,East,PHI,SF,0.293,15.1,6.1
Chet Holmgren,West,OKC,C,0.379,15,8
Kyle Kuzma,East,MIL,PF,0.307,14.8,5.7
Stephon Castle,West,SAS,PG,0.285,14.7,3.7
Aaron Gordon,West,DEN,PF,0.436,14.7,4.8
P.J. Washington,West,DAL,PF,0.381,14.7,7.8
Josh Giddey,East,CHI,PG,0.378,14.6,8.1
Jakob Poeltl,East,TOR,C,0.333,14.5,9.6
Deandre Ayton,West,POR,C,0.188,14.4,10.2
Gradey Dick,East,TOR,SG,0.35,14.4,3.6
Jerami Grant,West,POR,PF,0.365,14.4,3.5
Payton Pritchard,East,BOS,PG,0.407,14.3,3.8
Naz Reid,West,MIN,C,0.379,14.2,6
Dyson Daniels,East,ATL,SG,0.34,14.1,5.9
Tre Mann,West,CHO,PG,0.4,14.1,2.9
Amen Thompson,West,HOU,SF,0.275,14.1,8.2
Fred VanVleet,West,HOU,PG,0.345,14.1,3.7
Dillon Brooks,West,HOU,SF,0.397,14,3.7
Klay Thompson,West,DAL,SF,0.391,14,3.4
Bobby Portis,East,MIL,PF,0.365,13.9,8.4
Tobias Harris,East,DET,PF,0.345,13.7,5.9
Josh Hart,East,NYK,SG,0.333,13.6,9.6
Jarrett Allen,East,CLE,C,0,13.5,9.7
Onyeka Okongwu,East,ATL,C,0.324,13.4,8.9
Russell Westbrook,West,DEN,PG,0.323,13.3,4.9
Naji Marshall,West,DAL,SF,0.275,13.2,4.8
Rui Hachimura,West,LAL,PF,0.413,13.1,5
Brook Lopez,East,MIL,C,0.373,13,5
Moritz Wagner,East,ORL,C,0.36,12.9,4.9
Malcolm Brogdon,East,WAS,PG,0.286,12.7,3.8
Scoot Henderson,West,POR,PG,0.354,12.7,3
Keldon Johnson,West,SAS,SF,0.318,12.7,4.8
D'Angelo Russell,West,BKN,PG,0.314,12.6,2.8
Keegan Murray,West,SAC,PF,0.343,12.4,6.7
Lonnie Walker IV,East,PHI,SG,0.354,12.4,3.2
Harrison Barnes,West,SAS,PF,0.433,12.3,3.8
Ayo Dosunmu,East,CHI,SG,0.328,12.3,3.5
Daniel Gafford,West,DAL,C,0,12.3,6.8
Jaden McDaniels,West,MIN,PF,0.33,12.2,5.7
Jabari Smith Jr.,West,HOU,PF,0.354,12.2,7
Tari Eason,West,HOU,PF,0.342,12,6.4
Rudy Gobert,West,MIN,C,0,12,10.9
Aaron Nesmith,East,IND,SF,0.431,12,4
Aaron Wiggins,West,OKC,SG,0.383,12,3.9
Khris Middleton,East,WAS,SF,0.361,11.9,3.7
Jalen Duren,East,DET,C,0,11.8,10.3
Donte DiVincenzo,West,MIN,SG,0.397,11.7,3.7
Toumani Camara,West,POR,PF,0.375,11.3,5.8
Isaiah Hartenstein,West,OKC,C,0,11.2,10.7
Buddy Hield,West,GSW,SG,0.37,11.1,3.2
Jrue Holiday,East,BOS,PG,0.353,11.1,4.3
Walker Kessler,West,UTA,C,0.176,11.1,12.2
Gary Trent Jr.,East,MIL,SG,0.416,11.1,2.3
Spencer Dinwiddie,West,DAL,PG,0.334,11,2.6
Tim Hardaway Jr.,East,DET,SG,0.368,11,2.4
Duncan Robinson,East,MIA,SF,0.393,11,2.3
Grayson Allen,West,PHO,SG,0.426,10.6,3
Keon Johnson,East,BRK,SG,0.314,10.6,3.8
Terry Rozier,East,MIA,PG,0.295,10.6,3.7
Obi Toppin,East,IND,PF,0.365,10.5,4
Grant Williams,West,CHO,PF,0.365,10.4,5.1
Jose Alvarado,West,NOP,PG,0.359,10.3,2.4
Nic Claxton,East,BRK,C,0.238,10.3,7.4
Herbert Jones,West,NOP,SF,0.306,10.3,3.9
De'Anthony Melton,West,GSW,SG,0.371,10.3,3.3
Isaiah Joe,West,OKC,SG,0.412,10.2,2.6
Tyus Jones,West,PHO,PG,0.414,10.2,2.4
Luguentz Dort,West,OKC,SF,0.412,10.1,4.1
Derrick Jones Jr.,West,LAC,SF,0.356,10.1,3.4
Andrew Nembhard,East,IND,SG,0.291,10,3.3
Ziaire Williams,East,BRK,SF,0.341,10,4.6
Julian Champagnie,West,SAS,SF,0.371,9.9,3.9
Scotty Pippen Jr.,West,MEM,PG,0.397,9.9,3.3
Moses Moody,West,GSW,SG,0.374,9.8,2.6
Amir Coffey,West,LAC,SG,0.409,9.7,2.2
Kyle Filipowski,West,UTA,C,0.35,9.6,6.1
Tosan Evbuomwan,East,BRK,SF,0.312,9.5,4.3
Miles McBride,East,NYK,PG,0.369,9.5,2.5
Nickeil Alexander-Walker,West,MIN,SG,0.381,9.4,3.2
Cole Anthony,East,ORL,PG,0.353,9.4,3
Max Strus,East,CLE,SF,0.386,9.4,4.3
Tristan Vukcevic,East,WAS,C,0.373,9.4,3.7
Zach Edey,West,MEM,C,0.346,9.2,8.3
Wendell Carter Jr.,East,ORL,C,0.234,9.1,7.2
Dalton Knecht,West,LAL,SF,0.376,9.1,2.8
T.J. McConnell,East,IND,PG,0.306,9.1,2.4
Royce O'Neale,West,PHO,SF,0.406,9.1,4.7
Marcus Smart,East,WAS,PG,0.348,9,2.1
Draymond Green,West,GSW,PF,0.325,9,6.1
Killian Hayes,East,BRK,PG,0.381,9,3
Al Horford,East,BOS,C,0.363,9,6.2
Clint Capela,East,ATL,C,0,8.9,8.5
Luke Kennard,West,MEM,SG,0.433,8.9,2.8
Chris Paul,West,SAS,PG,0.377,8.8,3.6
Kelly Olynyk,West,NOP,C,0.418,8.7,4.7
Dorian Finney-Smith,West,LAL,PF,0.411,8.7,3.9
Kentavious Caldwell-Pope,East,ORL,SG,0.342,8.7,2.2
Dante Exum,West,DAL,PG,0.434,8.7,1.7
Dereck Lively II,West,DAL,C,0,8.7,7.5
Tyrese Martin,East,BRK,SG,0.351,8.7,3.7
Sam Hauser,East,BOS,PF,0.416,8.5,3.2
Larry Nance Jr.,East,ATL,PF,0.447,8.5,4.3
Brandon Clarke,West,MEM,PF,0.059,8.3,5.1
Brandon Williams,West,DAL,PG,0.4,8.3,1.8
Mike Conley,West,MIN,PG,0.41,8.2,2.6
Taurean Prince,East,MIL,SF,0.439,8.2,3.6
Jalen Smith,East,CHI,C,0.324,8.2,5.6
Lonzo Ball,East,CHI,PG,0.344,7.6,3.4
Matisse Thybulle,West,POR,SG,0.438,7.5,3.5
Richaun Holmes,East,WAS,PF,0,7.4,5.7
Andre Drummond,East,PHI,C,0.15,7.3,7.8
