Player,Conference,Team,Position,Receptions,Rec. Yds,Rush Yds,Tot. TDs
Saquon Barkley,NFC,PHI,RB,33,278,2005,15
Derrick Henry,AFC,BAL,RB,19,193,1921,18
Jahmyr Gibbs,NFC,DET,RB,52,517,1412,20
Bijan Robinson,NFC,ATL,RB,61,431,1456,15
Ja'Marr Chase,AFC,CIN,WR,127,1708,32,17
Josh Jacobs,NFC,GNB,RB,36,342,1329,16
Jonathan Taylor,AFC,IND,RB,18,136,1431,12
Aaron Jones,NFC,MIN,RB,51,408,1138,7
Justin Jefferson,NFC,MIN,WR,103,1533,3,10
Bucky Irving,NFC,TAM,RB,47,392,1122,8
James Conner,NFC,ARI,RB,47,414,1094,9
De'Von Achane,AFC,MIA,RB,78,592,907,12
Alvin Kamara,NFC,NOR,RB,68,543,950,8
Kyren Williams,NFC,LAR,RB,34,182,1299,16
Chuba Hubbard,NFC,CAR,RB,43,171,1195,11
Breece Hall,AFC,NYJ,RB,57,483,876,8
Chase Brown,AFC,CIN,RB,54,360,990,11
D'Andre Swift,NFC,CHI,RB,42,386,959,6
Brian Thomas,AFC,JAX,WR,87,1282,48,10
Rico Dowdle,NFC,DAL,RB,39,249,1079,5
Najee Harris,AFC,PIT,RB,36,283,1043,6
Joe Mixon,AFC,HOU,RB,36,309,1016,12
Tony Pollard,AFC,TEN,RB,41,238,1079,5
Amon-Ra St. Brown,NFC,DET,WR,115,1263,6,12
Drake London,NFC,ATL,WR,100,1271,-3,9
James Cook,AFC,BUF,RB,32,258,1009,18
CeeDee Lamb,NFC,DAL,WR,101,1194,70,6
Jerry Jeudy,AFC,CLE,WR,90,1229,0,4
Brock Bowers,AFC,LVR,TE,112,1194,13,5
Malik Nabers,NFC,NYG,WR,109,1204,2,7
Jaxon Smith-Njigba,NFC,SEA,WR,100,1130,26,6
Ladd McConkey,AFC,LAC,WR,82,1149,0,7
Trey McBride,NFC,ARI,TE,111,1146,2,3
Tyrone Tracy Jr.,NFC,NYG,RB,38,284,839,6
David Montgomery,NFC,DET,RB,36,341,775,12
Zay Flowers,AFC,BAL,WR,74,1059,56,4
Garrett Wilson,AFC,NYJ,WR,101,1104,5,7
George Kittle,NFC,SFO,TE,78,1106,0,8
Terry McLaurin,NFC,WAS,WR,82,1096,2,13
Courtland Sutton,AFC,DEN,WR,81,1081,0,8
A.J. Brown,NFC,PHI,WR,67,1079,0,7
Calvin Ridley,AFC,TEN,WR,64,1017,55,5
Davante Adams,AFC,NYJ,WR,85,1063,0,8
Jameson Williams,NFC,DET,WR,58,1001,61,8
J.K. Dobbins,AFC,LAC,RB,32,153,905,9
Jakobi Meyers,AFC,LVR,WR,87,1027,23,4
D.J. Moore,NFC,CHI,WR,98,966,75,6
Puka Nacua,NFC,LAR,WR,79,990,46,4
Jayden Reed,NFC,GNB,WR,55,857,163,7
Tyreek Hill,AFC,MIA,WR,81,959,53,6
Nico Collins,AFC,HOU,WR,68,1006,0,7
Rachaad White,NFC,TAM,RB,51,393,613,9
Mike Evans,NFC,TAM,WR,74,1004,0,11
D.K. Metcalf,NFC,SEA,WR,66,992,0,5
Darnell Mooney,NFC,ATL,WR,64,992,0,5
Jauan Jennings,NFC,SFO,WR,77,975,0,6
Rhamondre Stevenson,AFC,NWE,RB,33,168,801,8
Brian Robinson Jr.,NFC,WAS,RB,20,159,799,8
Lamar Jackson,AFC,BAL,QB,0,0,915,4
Tee Higgins,AFC,CIN,WR,73,911,0,10
Zach Charbonnet,NFC,SEA,RB,42,340,569,9
Kareem Hunt,AFC,KAN,RB,23,176,728,7
Jordan Addison,NFC,MIN,WR,63,875,20,10
George Pickens,AFC,PIT,WR,59,900,-6,3
Jayden Daniels,NFC,WAS,QB,0,0,891,6
Marvin Harrison Jr.,NFC,ARI,WR,62,885,0,8
Jonnu Smith,AFC,MIA,TE,88,884,-1,8
Jordan Mason,NFC,SFO,RB,11,91,789,3
Kenneth Walker III,NFC,SEA,RB,46,299,573,8
Javonte Williams,AFC,DEN,RB,52,346,513,4
DeVonta Smith,NFC,PHI,WR,68,833,1,8
Khalil Shakir,AFC,BUF,WR,76,821,4,4
Travis Kelce,AFC,KAN,TE,97,823,1,3
Alec Pierce,AFC,IND,WR,37,824,0,7
Jaylen Warren,AFC,PIT,RB,38,310,511,1
Tank Bigsby,AFC,JAX,RB,7,54,766,7
Josh Downs,AFC,IND,WR,72,803,12,5
Travis Etienne,AFC,JAX,RB,39,254,558,2
Michael Pittman Jr.,AFC,IND,WR,69,808,0,3
Deebo Samuel,NFC,SFO,WR,51,670,136,4
Jerome Ford,AFC,CLE,RB,37,225,565,3
Ray-Ray McCloud,NFC,ATL,WR,62,686,79,1
Rashod Bateman,AFC,BAL,WR,45,756,0,9
Jaylen Waddle,AFC,MIA,WR,58,744,12,2
Rome Odunze,NFC,CHI,WR,54,734,15,3
Keenan Allen,NFC,CHI,WR,70,744,0,7
Antonio Gibson,AFC,NWE,RB,23,206,538,1
Xavier Worthy,AFC,KAN,WR,59,638,104,9
Austin Ekeler,NFC,WAS,RB,35,366,367,4
Tyler Allgeier,NFC,ATL,RB,13,88,644,3
Sam LaPorta,NFC,DET,TE,60,726,0,7
Cooper Kupp,NFC,LAR,WR,67,710,10,6
Quentin Johnston,AFC,LAC,WR,55,711,6,8
Wan'Dale Robinson,NFC,NYG,WR,93,699,18,3
Alexander Mattison,AFC,LVR,RB,36,294,420,5
Tucker Kraft,NFC,GNB,TE,50,707,6,7
Tank Dell,AFC,HOU,WR,51,667,43,3
Mark Andrews,AFC,BAL,TE,55,673,5,11
Hunter Henry,AFC,NWE,TE,66,674,0,2
Mike Gesicki,AFC,CIN,TE,65,665,0,2
Zach Ertz,NFC,WAS,TE,66,654,0,7
Pat Freiermuth,AFC,PIT,TE,65,653,0,7
Christian Watson,NFC,GNB,WR,29,620,23,2
Demario Douglas,AFC,NWE,WR,66,621,16,3
Ray Davis,AFC,BUF,RB,17,189,442,6
Jalen Hurts,NFC,PHI,QB,0,0,630,14
Adam Thielen,NFC,CAR,WR,48,615,0,5
Justice Hill,AFC,BAL,RB,42,383,228,4
Jalen Tolbert,NFC,DAL,WR,49,610,0,7
DeAndre Hopkins,AFC,TEN,WR,15,173,0,1
DeAndre Hopkins,AFC,KAN,WR,41,437,0,4
Kyle Pitts,NFC,ATL,TE,47,602,0,4
Romeo Doubs,NFC,GNB,WR,46,601,0,4
Tyler Lockett,NFC,SEA,WR,49,600,0,2
Cade Otton,NFC,TAM,TE,59,600,-4,4
Darius Slayton,NFC,NYG,WR,39,573,17,2
Kayshon Boutte,AFC,NWE,WR,43,589,0,3
Josh Palmer,AFC,LAC,WR,39,584,0,1
Tre Tucker,AFC,LVR,WR,47,539,44,4
Chris Godwin,NFC,TAM,WR,50,576,2,5
Ameer Abdullah,AFC,LVR,RB,40,261,311,5
Jaleel McLaughlin,AFC,DEN,RB,24,76,496,3
Kyler Murray,NFC,ARI,QB,0,0,572,5
Tutu Atwell,NFC,LAR,WR,42,562,7,0
Keon Coleman,AFC,BUF,WR,29,556,9,4
Devin Singletary,NFC,NYG,RB,21,119,437,4
Michael Wilson,NFC,ARI,WR,47,548,7,4
Emanuel Wilson,NFC,GNB,RB,11,48,502,5
Calvin Austin III,AFC,PIT,WR,36,548,0,4
Juwan Johnson,NFC,NOR,TE,50,548,0,3
Amari Cooper,AFC,CLE,WR,24,250,0,2
Amari Cooper,AFC,BUF,WR,20,297,0,2
Marvin Mims,AFC,DEN,WR,39,503,42,6
Elijah Moore,AFC,CLE,WR,61,538,1,1
Josh Allen,AFC,BUF,QB,0,7,531,13
Tyjae Spears,AFC,TEN,RB,30,224,312,5
Dalton Schultz,AFC,HOU,TE,53,532,0,2
Allen Lazard,AFC,NYJ,WR,37,530,0,6
Xavier Legette,NFC,CAR,WR,49,497,24,4
